time_s,volts
0,-0
2e-07,1.781336e-10
4e-07,1.41383177e-09
6e-07,4.70887243e-09
8e-07,1.09553099e-08
1e-06,2.08851869e-08
1.2e-06,3.50255963e-08
1.4e-06,5.36606486e-08
1.6e-06,7.6801711e-08
1.8e-06,1.0416706e-07
2e-06,1.35171827e-07
2.2e-06,1.68928835e-07
2.4e-06,2.04260613e-07
2.6e-06,2.39722559e-07
2.8e-06,2.73636907e-07
3e-06,3.04136827e-07
3.2e-06,3.29219678e-07
3.4e-06,3.46808171e-07
3.6e-06,3.54817907e-07
3.8e-06,3.51229547e-07
4e-06,3.34163704e-07
4.2e-06,3.01956461e-07
4.4e-06,2.53233381e-07
4.6e-06,1.86979811e-07
4.8e-06,1.02605293e-07
5e-06,1.08785754e-22
5.2e-06,-1.2041878e-07
5.4e-06,-2.57671905e-07
5.6e-06,-4.10196923e-07
5.8e-06,-5.75841186e-07
6e-06,-7.51870479e-07
6.2e-06,-9.34993767e-07
6.4e-06,-1.12140428e-06
6.6e-06,-1.30683675e-06
6.8e-06,-1.48664024e-06
7e-06,-1.6558655e-06
7.2e-06,-1.80936559e-06
7.4e-06,-1.94190786e-06
7.6e-06,-2.04829522e-06
7.8e-06,-2.12349429e-06
8e-06,-2.16276773e-06
8.2e-06,-2.16180772e-06
8.4e-06,-2.11686768e-06
8.6e-06,-2.02488893e-06
8.8e-06,-1.88361914e-06
9e-06,-1.69171943e-06
9.2e-06,-1.44885708e-06
9.4e-06,-1.15578108e-06
9.6e-06,-8.1437778e-07
9.8e-06,-4.27704639e-07
1e-05,-8.70295338e-22
1.02e-05,4.63332376e-07
1.04e-05,9.55764991e-07
1.06e-05,1.46971488e-06
1.08e-05,1.99663825e-06
1.1e-05,2.52715084e-06
1.12e-05,3.05117255e-06
1.14e-05,3.55809447e-06
1.16e-05,4.0369659e-06
1.18e-05,4.47669834e-06
1.2e-05,4.86628288e-06
1.22e-05,5.19501735e-06
1.24e-05,5.45273863e-06
1.26e-05,5.63005594e-06
1.28e-05,5.7185801e-06
1.3e-05,5.71114402e-06
1.32e-05,5.60200955e-06
1.34e-05,5.38705594e-06
1.36e-05,5.06394516e-06
1.38e-05,4.63225993e-06
1.4e-05,4.09361042e-06
1.42e-05,3.45170623e-06
1.44e-05,2.71239057e-06
1.46e-05,1.88363457e-06
1.48e-05,9.75490075e-07
1.5e-05,2.93729911e-21
1.52e-05,-1.02893358e-06
1.54e-05,-2.09572295e-06
1.56e-05,-3.18330804e-06
1.58e-05,-4.27340726e-06
1.6e-05,-5.34680221e-06
1.62e-05,-6.38365245e-06
1.64e-05,-7.36383542e-06
1.66e-05,-8.26730592e-06
1.68e-05,-9.07446923e-06
1.7e-05,-9.76656128e-06
1.72e-05,-1.03260289e-05
1.74e-05,-1.07369031e-05
1.76e-05,-1.09851579e-05
1.78e-05,-1.10590481e-05
1.8e-05,-1.09494174e-05
1.82e-05,-1.06499723e-05
1.84e-05,-1.01575128e-05
1.86e-05,-9.47211655e-06
1.88e-05,-8.59726944e-06
1.9e-05,-7.53993941e-06
1.92e-05,-6.31058956e-06
1.94e-05,-4.92312841e-06
1.96e-05,-3.39479591e-06
1.98e-05,-1.74598503e-06
2e-05,-6.96266047e-21
2.02e-05,1.8172466e-06
2.04e-05,3.67759452e-06
2.06e-05,5.55104971e-06
2.08e-05,7.40624559e-06
2.1e-05,9.21094515e-06
2.12e-05,1.0932576e-05
2.14e-05,1.25387899e-05
2.16e-05,1.39980377e-05
2.18e-05,1.52801495e-05
2.2e-05,1.63569102e-05
2.22e-05,1.72026196e-05
2.24e-05,1.77946271e-05
2.26e-05,1.81138301e-05
2.28e-05,1.81451266e-05
2.3e-05,1.7877812e-05
2.32e-05,1.73059119e-05
2.34e-05,1.64284423e-05
2.36e-05,1.52495916e-05
2.38e-05,1.37788172e-05
2.4e-05,1.20308537e-05
2.42e-05,1.00256293e-05
2.44e-05,7.78808915e-06
2.46e-05,5.34792642e-06
2.48e-05,2.73922244e-06
2.5e-05,1.35993824e-20
2.52e-05,-2.82830512e-06
2.54e-05,-5.70144735e-06
2.56e-05,-8.57304111e-06
2.58e-05,-1.13952872e-05
2.6e-05,-1.41197449e-05
2.62e-05,-1.66981376e-05
2.64e-05,-1.90831792e-05
2.66e-05,-2.12294063e-05
2.68e-05,-2.30940046e-05
2.7e-05,-2.46376116e-05
2.72e-05,-2.58250836e-05
2.74e-05,-2.66262126e-05
2.76e-05,-2.70163774e-05
2.78e-05,-2.69771187e-05
2.8e-05,-2.6496624e-05
2.82e-05,-2.55701128e-05
2.84e-05,-2.42001125e-05
2.86e-05,-2.23966174e-05
2.88e-05,-2.01771249e-05
2.9e-05,-1.75665455e-05
2.92e-05,-1.45969843e-05
2.94e-05,-1.13073953e-05
2.96e-05,-7.7431096e-06
2.98e-05,-3.95524479e-06
3e-05,-2.35006539e-20
3.02e-05,4.06215238e-06
3.04e-05,8.16736798e-06
3.06e-05,1.22494115e-05
3.08e-05,1.62407026e-05
3.1e-05,2.00734113e-05
3.12e-05,2.36805839e-05
3.14e-05,2.6997283e-05
3.16e-05,2.99617209e-05
3.18e-05,3.25163685e-05
3.2e-05,3.46090193e-05
3.22e-05,3.61937895e-05
3.24e-05,3.7232037e-05
3.26e-05,3.76931803e-05
3.28e-05,3.75554019e-05
3.3e-05,3.68062218e-05
3.32e-05,3.54429284e-05
3.34e-05,3.34728556e-05
3.36e-05,3.09134993e-05
